FLIGHT_ID,CALLSIGN,OPERATOR,ICAO_ACTYPE,ADEP,DEST,TAS,RFL,TYPE_OF_TRANSPONDER,Date_Added,RUNWAY,GATE,STACK
20501977,TFL58H,TFL,A320,EHAM,LGKO,449,370.0,S,2023-11-27,,,
20502032,SVA933D,SVA,B77L,OEJN,EHAM,507,320.0,H,2023-11-27,06,S96,ARTIP
20502043,PNX515,PNX,JS32,EHGG,EKCH,266,150.0,S,2023-11-27,,,
20502070,FOO884E,FOO,A321,EHAM,LEBL,450,350.0,S,2023-11-27,,,
20502078,SAS550,SAS,A20N,EHAM,EKCH,440,390.0,L,2023-11-27,,,
20502080,NJE512Y,NJE,C68A,EHAM,LEIB,442,350.0,L,2023-11-27,,,
20502093,KLM672,KLM,A333,CYUL,EHAM,470,410.0,L,2023-11-27,06,D47,SUGOL
20502114,KLM38H,KLM,B738,LIPZ,EHAM,445,300.0,L,2023-11-27,06,B15,RIVER
20502135,DLH1XY,DLH,A321,EHAM,EDDM,443,350.0,H,2023-11-27,,,
20502156,WGT8H,WGT,FA7X,EHAM,ETSI,499,310.0,L,2023-11-27,,,
20502170,FIN46V,FIN,E190,EBBR,EFHK,447,390.0,S,2023-11-27,,,
20502176,DAL178,DAL,B763,KPDX,EHAM,460,350.0,L,2023-11-27,06,D04,SUGOL
20502201,AWC371Y,AWC,B752,EGSS,EHEH,450,190.0,L,2023-11-27,03,,
20502264,NJE024R,NJE,F2TH,EHAM,LEIB,480,350.0,H,2023-11-27,,,
20502291,BEE8AL,BEE,E195,EGBB,EHAM,425,130.0,H,2023-11-27,06,A54,SUGOL
20502294,THY1TN,THY,B77W,LTFM,EHAM,484,360.0,L,2023-11-27,06,G04,ARTIP
20502305,ECA1C,ECA,C25A,EHAM,EGKB,373,200.0,S,2023-11-27,,,
20502322,BAW936,BAW,A320,EGLL,EDDL,439,330.0,S,2023-11-27,,,
20502338,SAS57B,SAS,A319,EKCH,EBBR,430,350.0,L,2023-11-27,,,
20502356,GES541V,GES,C680,LEIB,EHAM,436,400.0,H,2023-11-27,36R,GL,RIVER
20502367,SAS821,SAS,A20N,ENGM,EHAM,440,380.0,L,2023-11-27,06,C16,ARTIP
20502373,MPH8911,MPH,B744,EHAM,HECA,490,390.0,S,2023-11-27,,,
20502385,NAF46,NAF,DC10,EHEH,OMDM,479,350.0,H,2023-11-27,,,
20502398,KLM1253,KLM,B737,EHAM,LFMN,448,410.0,L,2023-11-27,,,
20502417,CLX53J,CLX,B748,TJBQ,EHAM,490,310.0,L,2023-11-27,06,S84,SUGOL
20502427,PNX516,PNX,JS32,EKCH,EHGG,267,160.0,S,2023-11-27,05,L,
20502453,HKS306B,HKS,EC75,EGPD,EHKD,145,30.0,E,2023-11-27,03,,
20502458,BIO03,BIO,P68,EDXJ,EDXJ,120,18.0,S,2023-11-27,,,
20502476,NMA9900,NMA,A320,LEBL,EHWO,441,180.0,S,2023-11-27,07,,
20502508,AWC711,AWC,B752,EHEH,LRSB,455,370.0,L,2023-11-27,,,
20502536,NJE9GP,NJE,CL35,EHAM,LFPB,415,190.0,H,2023-11-27,,,
20502539,BEE6AB,BEE,E195,EHAM,EGBB,455,340.0,H,2023-11-27,,,
20502578,AHO344F,AHO,C56X,EHRD,LFMD,430,350.0,H,2023-11-27,,,
20502593,SAS594,SAS,A319,EBBR,EKCH,440,370.0,L,2023-11-27,,,
20502600,IBS37UJ,IBS,A320,LEMD,EHAM,460,360.0,S,2023-11-27,06,B15,SUGOL
20502606,SAS822,SAS,A20N,EHAM,ENGM,444,390.0,L,2023-11-27,,,
20502620,XRO503,XRO,C680,EHTW,EDDG,300,100.0,S,2023-11-27,,,
20502623,DAL179,DAL,B763,EHAM,KPDX,466,320.0,L,2023-11-27,,,
20502632,CFE4454,CFE,E190,EHRD,EGLC,394,180.0,S,2023-11-27,,,
20502638,PCT505,PCT,D228,ETMN,ETMN,160,20.0,S,2023-11-27,,,
20502651,BAW937,BAW,A320,EDDL,EGLL,439,320.0,S,2023-11-27,,,
20502714,THY4EH,THY,B77W,EHAM,LTFM,461,310.0,L,2023-11-27,,,
20502730,FOO8319,FOO,A321,LEBL,EHAM,446,340.0,S,2023-11-27,06,B13,RIVER
20502747,RCH152,RCH,C5,PAED,ETAD,457,230.0,S,2023-11-27,,,
20502825,COW01,COW,BE20,EHRD,EHRD,271,220.0,S,2023-11-27,06,,
20502826,AZE39QA,AZE,E50P,LSZH,EHAM,373,360.0,H,2023-11-27,04,GL,RIVER
20502828,ICE68L,ICE,B763,BIKF,EBBR,462,330.0,H,2023-11-27,,,
20502845,SUS9097,SUS,J328,EGCC,LFQQ,381,330.0,S,2023-11-27,,,
20502853,VJT449,VJT,CL35,EFHK,EHAM,442,400.0,L,2023-11-27,36R,GL,ARTIP
20502884,NJE716F,NJE,E55P,EHRD,LPFR,437,330.0,H,2023-11-27,,,
20502903,KLM790,KLM,A332,TNCC,EHAM,470,210.0,L,2023-11-27,06,E17,SUGOL
20502917,TFL58H,TFL,A320,LGKO,EHAM,457,360.0,S,2023-11-27,36R,B31,ARTIP
20502924,EZY1837,EZY,A320,EGCC,EHAM,460,270.0,L,2023-11-27,06,H02,SUGOL
20502928,KLM1695,KLM,B739,EHAM,LPPT,457,350.0,L,2023-11-27,,,
20502945,AZE31QA,AZE,E50P,EHAM,LSGG,378,330.0,H,2023-11-27,,,
20502962,NJE124H,NJE,F2TH,EHBK,LGKR,471,410.0,H,2023-11-27,,,
20502966,BPA8138,BPA,B738,LCLK,EHRD,461,360.0,S,2023-11-27,06,C3,
20502970,KLM1652,KLM,B738,LIPZ,EHAM,446,220.0,L,2023-11-27,06,C13,RIVER
20502988,RAM8669,RAM,A320,EHAM,GMFO,455,340.0,S,2023-11-27,,,
20502992,TRA6464,TRA,B737,LGMK,EHAM,447,380.0,L,2023-11-27,36R,D52,ARTIP
20503006,CFE4477,CFE,E190,EGLC,EHRD,400,190.0,S,2023-11-27,06,A3,
20503015,BAF190,BAF,F260,EHEH,EBBE,150,30.0,S,2023-11-27,,,
20503032,CND194,CND,B738,LICC,EHAM,456,380.0,L,2023-11-27,06,D12,ARTIP
20503041,NJE634U,NJE,C68A,EDDH,EHAM,446,260.0,L,2023-11-27,36R,GL,ARTIP
20503051,KLM1254,KLM,B737,LFMN,EHAM,422,280.0,L,2023-11-27,06,C09,RIVER
20503073,SAS51P,SAS,A319,EKCH,EHAM,440,260.0,L,2023-11-27,06,C10,ARTIP
20503077,NJE255P,NJE,F2TH,EHBK,LGKR,471,410.0,H,2023-11-27,,,
20503092,TRA722,TRA,B738,LTBS,EHAM,454,360.0,L,2023-11-27,06,E04,RIVER
20503107,FOO799H,FOO,A321,EHAM,LIMC,448,370.0,S,2023-11-27,,,
20503111,NJE213T,NJE,C56X,EDDK,EGPE,415,400.0,H,2023-11-27,,,
20503114,GES541V,GES,C680,EHAM,LFMN,436,390.0,H,2023-11-27,,,
20503130,VCG1WD,VCG,C56X,EGKB,EHAM,420,210.0,S,2023-11-27,04,GL,SUGOL
20503135,FLJ51,FLJ,BE40,LSGG,EHAM,448,380.0,L,2023-11-27,04,GL,RIVER
20503145,KLM610,KLM,B77W,KSLC,EHAM,485,350.0,L,2023-11-27,06,F08,SUGOL
20503150,SVA934D,SVA,B77L,EHAM,OEJN,493,330.0,H,2023-11-27,,,
20503172,CFE53Y,CFE,E190,EHRD,EGLC,394,180.0,S,2023-11-27,,,
20503182,BAW939,BAW,A320,EDDL,EGLL,444,320.0,S,2023-11-27,,,
20503195,CLX53J,CLX,B748,EHAM,ELLX,421,210.0,L,2023-11-27,,,
20503206,EWG9XG,EWG,A319,EDDL,EGCC,447,360.0,E,2023-11-27,,,
20503222,KLM877,KLM,B77W,EHAM,VABB,504,310.0,L,2023-11-27,,,
20503227,DLH6LL,DLH,A319,EDDM,EHAM,446,340.0,H,2023-11-27,36R,B13,ARTIP
20503245,AXG2629,AXG,C750,LRIA,EHRD,507,430.0,S,2023-11-27,06,JA,
20503253,QTR8201,QTR,B77L,OTHH,EHAM,412,180.0,S,2023-11-27,06,S87,ARTIP
20503269,VJT503,VJT,CL60,EHEH,LIEO,448,390.0,L,2023-11-27,,,
20503292,NJE421B,NJE,C68A,LEMH,EHAM,450,320.0,L,2023-11-27,36R,GL,RIVER
20503300,KKK7SN,KKK,A321,EGSS,LTFM,423,350.0,S,2023-11-27,,,
20503312,SAS54P,SAS,A319,EHAM,EKCH,440,370.0,L,2023-11-27,,,
20503337,RYR8XK,RYR,B738,EKAH,EGSS,370,340.0,S,2023-11-27,,,
20503339,EUW9310,EUW,E35L,EGLF,EDLP,436,370.0,S,2023-11-27,,,
